Date,Close,Predictions
2020-12-15,0.5875947470975098,0.47519782
2020-12-16,0.4665578884575202,0.4751816
2020-12-17,0.48282945634414903,0.47516182
2020-12-18,0.49571419834557007,0.47523016
2020-12-21,0.37742471292071794,0.47517422
2020-12-22,0.4924439209742435,0.47523162
2020-12-23,0.49548044083665593,0.4751946
2020-12-24,0.5172117001630321,0.47511962
2020-12-28,0.4884513610102758,0.47523326
2020-12-29,0.4387645192945213,0.47524366
2020-12-30,0.50634992184194,0.47519693
2020-12-31,0.5496159420622441,0.4751686
2021-01-04,0.39972538044778627,0.47523254
2021-01-05,0.5785464451721429,0.47523865
2021-01-06,0.617488442763508,0.47512594
2021-01-07,0.4703177250576368,0.47519237
2021-01-08,0.4635991645283192,0.47515002
2021-01-11,0.4849272849103389,0.47519258
2021-01-12,0.5092504414290125,0.47519228
2021-01-13,0.38725992044402746,0.47522417
2021-01-14,0.5699263924908868,0.47514704
2021-01-15,0.4585790385160572,0.4752324
2021-01-19,0.5092895415650693,0.4752104
2021-01-20,0.5271317725652047,0.4751933
2021-01-21,0.5479121234840344,0.4751601
2021-01-22,-0.05128576216403119,0.47515234
2021-01-25,0.48146561482865946,0.47515568
2021-01-26,0.660634181284545,0.47522193
2021-01-27,0.4819491321113349,0.47520116
2021-01-28,0.3775977928611214,0.47513437
2021-01-29,0.4392702524935213,0.47517702
2021-02-01,0.5475684951465705,0.47522125
2021-02-02,0.43362102312400147,0.47512755
2021-02-03,0.46838247017504925,0.47516054
2021-02-04,0.5688388669635117,0.47517732
2021-02-05,0.5171389478306004,0.4752201
2021-02-08,0.5634114841151513,0.47516268
2021-02-09,0.416957185087712,0.47518757
2021-02-10,0.4890123363312762,0.47518444
2021-02-11,0.4241596323355905,0.47516936
2021-02-12,0.4779236224931598,0.47515061
2021-02-16,0.45024307484176923,0.4751641
2021-02-17,0.4783384922353191,0.47517765
2021-02-18,0.5169896646679168,0.47511563
2021-02-19,0.4051128688421708,0.47521386
2021-02-22,0.5675737148180995,0.4751319
2021-02-23,0.476136886781273,0.47517505
2021-02-24,0.594509403608042,0.47518495
2021-02-25,0.4504430299246171,0.47515044
2021-02-26,0.32696320118605904,0.4751468
2021-03-01,0.5648958055648096,0.47520855
2021-03-02,0.46451867429925253,0.475199
2021-03-03,0.5737999052730175,0.47512862
2021-03-04,0.38367288891089024,0.47518817
2021-03-05,0.6049442643465486,0.47514853
2021-03-08,0.569753173873985,0.47517624
2021-03-09,0.45561070285476835,0.47518575
2021-03-10,0.6430630236588475,0.47515646
2021-03-11,0.45204475091483026,0.4752049
2021-03-12,0.5027635245625023,0.47510758
2021-03-15,0.523818322769296,0.47519073
2021-03-16,0.46857075099117745,0.4751721
2021-03-17,0.5160478558895711,0.4752075
2021-03-18,0.5258746382055687,0.4752001
2021-03-19,0.43473509282525347,0.47522774
2021-03-22,0.5518553207213824,0.47514015
2021-03-23,0.4791121807635922,0.47518024
2021-03-24,0.48944230296455776,0.47518733
2021-03-25,0.5839727254458515,0.47518155
2021-03-26,0.616959476389462,0.47522566
2021-03-29,0.462268920915899,0.4751927
2021-03-30,0.4375822598342623,0.47517613
2021-03-31,0.42439069515015837,0.47520968
2021-04-01,0.4816155493233962,0.47517583
2021-04-05,0.5921092093157282,0.47520176
2021-04-06,0.4149939264343945,0.4751172
