Date,Open,High,Low,Close,Open_Pred,High_Pred,Low_Pred,Close_Pred
2020-12-10,120.50000000000001,123.87000274658205,120.15000152587889,123.2399978637695,119.98493,121.872505,119.51895,122.27863
2020-12-11,122.43000030517578,122.76000213623048,120.55000305175778,122.41000366210938,118.81744,120.93632,117.80441,121.17352
2020-12-14,122.5999984741211,123.34999847412111,121.54000091552733,121.77999877929686,118.24713,120.82385,117.59699,121.155975
2020-12-15,124.33999633789062,127.9000015258789,124.12999725341795,127.87999725341794,119.100464,121.356705,118.06369,121.0422
2020-12-16,127.41000366210936,128.3699951171875,126.55999755859375,127.80999755859378,123.32498,124.15265,121.09442,124.51574
2020-12-17,128.89999389648438,129.5800018310547,128.0399932861328,128.6999969482422,124.07562,125.08352,122.550514,126.03794
2020-12-18,128.9600067138672,129.10000610351562,126.12000274658203,126.66000366210939,125.30715,126.32098,123.70586,126.6401
2020-12-21,125.01999664306639,128.30999755859375,123.44999694824222,128.22999572753906,123.52803,125.95901,123.58973,126.14027
2020-12-22,131.61000061035156,134.41000366210938,129.64999389648438,131.8800048828125,122.97056,125.14677,122.28464,125.16084
2020-12-23,132.16000366210938,132.42999267578125,130.77999877929688,130.9600067138672,127.516106,128.02824,126.33327,129.0796
2020-12-24,131.32000732421875,133.4600067138672,131.10000610351562,131.97000122070312,127.903076,128.80096,126.623634,130.34189
2020-12-28,133.99000549316406,137.33999633789062,133.50999450683594,136.69000244140625,127.847946,129.61722,126.40871,130.06453
2020-12-29,138.0500030517578,138.7899932861328,134.33999633789062,134.8699951171875,130.95352,132.40646,129.69249,133.39742
2020-12-30,135.5800018310547,135.99000549316406,133.39999389648438,133.72000122070312,131.48164,133.07387,131.0056,133.59268
2020-12-31,134.0800018310547,134.74000549316406,131.72000122070312,132.69000244140625,130.04648,131.94356,128.97232,133.16632
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623048,129.41000366210938,128.63066,131.12442,128.86658,132.42444
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,125.61506,128.73648,126.64468,128.60751
2021-01-06,127.72000122070311,131.0500030517578,126.37999725341795,126.59999847412111,126.287544,128.83958,124.83406,129.69232
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,123.68712,127.04043,123.36883,127.52722
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,126.565315,127.58745,124.66588,128.06627
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,128.29803,130.03094,126.020706,130.66862
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,125.31196,129.3077,124.22425,128.23238
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,124.846924,126.99291,123.73895,126.564415
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,127.20179,128.76982,125.40268,129.42265
