Date,Open,High,Low,Close,Open_Pred,High_Pred,Low_Pred,Prediction
7/19/2016,225.0,229.100006,224.75,225.259995,222.58208,225.93892,222.51694,222.06058
7/20/2016,226.470001,229.800003,225.0,228.360001,221.16267,225.34023,220.7039,220.78647
7/21/2016,226.0,227.85000599999998,219.100006,220.5,223.98227,227.5299,223.59576,222.76895
7/22/2016,221.990005,224.5,218.880005,222.270004,216.28845,220.34607,216.01762,217.37175
7/25/2016,222.270004,231.389999,221.369995,230.009995,217.98596,221.87346,217.05222,217.37833
7/26/2016,227.690002,230.0,225.300003,229.509995,225.87097,229.1902,225.26173,225.62791
7/27/2016,229.33999600000004,233.360001,226.919998,228.490005,224.67302,228.14381,223.65056,224.4959
7/28/2016,227.949997,230.75999500000003,226.600006,230.610001,225.08727,229.49043,224.53067,224.4272
7/29/2016,230.699997,235.279999,230.240005,234.789993,225.20624,228.66766,225.14174,225.90074
8/1/2016,235.5,236.630005,229.380005,230.009995,230.35007,234.17139,230.12285,230.20645
8/2/2016,229.369995,229.869995,221.399994,227.199997,226.13686,230.23396,225.50415,226.18686
8/3/2016,227.369995,229.699997,224.210007,225.789993,221.15137,225.69955,220.56538,221.21437
8/4/2016,225.690002,230.860001,222.050003,230.610001,222.40247,225.41505,221.07056,221.86488
8/5/2016,230.0,232.0,227.399994,230.029999,225.95807,229.68095,225.19003,226.80319
8/8/2016,228.0,229.600006,226.089996,226.160004,224.80869,228.93748,224.34058,224.31099
8/9/2016,226.82000700000003,231.539993,226.649994,229.080002,223.40656,226.81038,222.58755,222.75835
8/10/2016,228.240005,229.869995,224.61999499999996,225.649994,225.09863,229.00027,225.09361,225.1568
8/11/2016,226.169998,227.570007,223.410004,224.910004,220.75739,224.78162,220.58627,220.58359
8/12/2016,225.41000399999996,226.649994,224.039993,225.610001,220.98035,224.47377,220.23236,219.8832
8/15/2016,226.020004,229.5,224.929993,225.589996,222.28264,225.48476,221.684,222.30705
8/16/2016,225.490005,227.190002,223.410004,223.610001,222.94804,226.75305,222.3394,222.99101
8/17/2016,224.330002,224.830002,222.800003,223.240005,219.85133,223.4493,219.58575,219.54895
8/18/2016,223.820007,225.660004,222.28999300000004,223.509995,218.91003,222.55608,218.53539,218.82196
8/19/2016,223.539993,225.169998,222.529999,225.0,220.67592,224.47781,221.0584,221.69626
8/22/2016,224.169998,225.110001,222.679993,222.929993,220.89017,224.38431,220.58029,221.03217
8/23/2016,224.320007,228.490005,222.800003,224.839996,218.36435,221.58182,217.77173,217.5905
8/24/2016,227.050003,227.149994,222.220001,222.61999500000002,222.27568,225.85468,221.83217,222.16591
8/25/2016,223.11000099999998,223.800003,220.770004,220.960007,219.59158,222.9523,218.73846,219.09644
8/26/2016,222.139999,222.860001,218.820007,219.990005,217.51428,221.17726,217.51556,217.73949
8/29/2016,220.149994,220.399994,215.0,215.199997,216.75818,220.48212,216.40298,217.22104
8/30/2016,216.110001,216.11000100000004,210.520004,211.339996,211.87122,215.92433,211.4351,212.2854
8/31/2016,210.429993,212.600006,208.649994,212.009995,208.65363,212.31151,207.61034,208.91588
9/1/2016,209.009995,211.100006,200.5,200.770004,208.50508,212.03503,207.85277,208.93587
9/2/2016,202.330002,203.199997,196.199997,197.779999,197.50114,202.40207,196.71973,198.63383
9/6/2016,199.020004,203.25,199.0,202.830002,194.70224,198.80266,193.94417,195.00383
9/7/2016,205.50000000000003,206.5,200.710007,201.710007,200.2758,203.78993,199.48111,200.88457
9/8/2016,199.550003,199.889999,196.360001,197.360001,199.6629,203.66519,199.18733,200.98329
9/9/2016,199.089996,199.919998,193.699997,194.470001,193.5201,197.74951,192.86758,193.5575
9/12/2016,195.0,201.369995,194.100006,198.300003,190.64229,194.15814,189.5736,190.62575
9/13/2016,197.059998,198.490005,193.449997,196.05000299999998,196.64995,200.1907,196.21457,197.83838
9/14/2016,195.75,197.919998,194.860001,196.410004,191.54956,195.88277,190.53229,191.70593
9/15/2016,196.490005,202.520004,196.399994,200.419998,192.91399,196.29645,192.4843,192.7538
9/16/2016,200.419998,205.699997,199.0,205.399994,197.77232,200.9113,196.9996,197.74886
9/19/2016,207.0,209.429993,205.0,206.339996,200.98671,204.11617,200.32542,200.61668
9/20/2016,206.85000599999998,207.74999999999997,203.910004,204.639999,202.58206,206.33804,201.8123,202.35374
9/21/2016,206.369995,207.0,201.559998,205.220001,201.55539,205.11815,200.81499,201.1969
9/22/2016,206.399994,207.27999899999998,203.0,206.429993,201.51201,204.64983,201.10475,201.75603
9/23/2016,205.990005,210.179993,205.66999800000002,207.449997,203.01134,205.94325,202.22815,202.83246
9/26/2016,206.5,211.00000000000003,206.49999999999997,208.990005,204.35722,208.26353,203.60976,204.18646
9/27/2016,209.649994,209.979996,204.610001,205.809998,206.15234,209.26045,205.11824,205.09373
9/28/2016,207.509995,208.25,205.259995,206.270004,203.87099,207.22176,202.91566,203.51326
9/29/2016,205.600006,207.330002,200.580002,200.699997,202.12431,205.38307,202.23479,201.99873
9/30/2016,202.210007,204.979996,199.550003,204.029999,197.36363,202.04184,196.8453,197.89627
10/3/2016,212.30000299999998,215.669998,208.25,213.699997,201.27759,204.356,200.16493,200.7984
10/4/2016,213.100006,213.320007,208.820007,211.410004,211.94392,215.23427,210.91652,211.82161
10/5/2016,212.240005,213.149994,208.119995,208.460007,207.61148,211.01422,207.0445,207.656
10/6/2016,202.460007,204.210007,200.21000700000002,201.0,205.06232,209.51915,204.24966,205.27847
10/7/2016,201.00000000000003,201.320007,195.800003,196.610001,196.58241,200.1941,195.80222,197.1418
10/10/2016,201.350006,204.139999,199.660004,200.949997,193.81445,198.58028,193.82343,195.08827
10/11/2016,201.850006,202.199997,198.309998,200.100006,198.81299,201.65186,197.90004,197.57475
10/12/2016,200.949997,203.880005,200.419998,201.509995,196.87341,201.2112,196.24681,197.9177
10/13/2016,200.5,200.899994,197.050003,200.240005,199.80429,202.63129,199.09404,199.44453
10/14/2016,200.660004,201.42999299999997,196.300003,196.509995,195.95091,199.44646,195.34427,196.56285
10/17/2016,197.050003,198.389999,192.0,193.960007,193.09053,197.49057,192.97304,193.74242
10/18/2016,195.990005,199.470001,193.259995,199.100006,191.31897,195.02219,190.02563,191.78355
10/19/2016,199.740005,206.660004,198.059998,203.559998,195.4496,199.4914,194.88524,195.89415
10/20/2016,202.119995,203.0,197.050003,199.100006,200.74876,203.95016,199.80835,200.51291
10/21/2016,198.600006,201.57000700000003,197.410004,200.089996,194.81621,198.42822,193.65009,194.03017
10/24/2016,201.00000000000003,203.949997,200.25000000000003,202.759995,196.90352,200.57596,196.41125,197.32468
10/25/2016,202.89999399999996,204.690002,201.199997,202.339996,199.6762,202.79962,199.11624,200.17108
10/26/2016,201.00000000000003,203.190002,200.100006,202.240005,199.25946,203.19359,199.12671,199.04074
10/27/2016,211.33999599999999,213.699997,201.649994,204.009995,197.58084,200.31888,196.37373,196.1905
10/28/2016,204.0,205.320007,199.830002,199.970001,203.0866,207.61433,202.31488,203.54779
10/31/2016,202.490005,202.490005,195.809998,197.72999600000003,197.63719,201.25578,196.52544,198.12404
11/1/2016,198.039993,198.5,188.110001,190.789993,194.82655,199.59775,193.77773,195.5324
11/2/2016,190.050003,192.699997,187.509995,188.020004,188.19029,192.28104,187.55183,189.49858
11/3/2016,189.0,191.470001,187.039993,187.419998,185.7336,190.37517,184.88272,186.70616
11/4/2016,189.0,193.460007,185.960007,190.559998,185.13823,188.39777,183.97978,184.69905
11/7/2016,193.589996,194.289993,190.050003,193.210007,188.43996,192.83865,187.95589,190.04324
