Date,Open,High,Low,Close,Open_Pred,High_Pred,Low_Pred,Close_Pred
2020-06-16,125.00000000000001,127.49999999999999,123.160004,125.15000199999999,121.29274,122.03216,118.64085,120.4675
2020-06-17,125.83000200000001,126.25,123.400002,124.150002,126.122536,127.22026,124.018265,125.19514
2020-06-18,123.0,124.400002,122.330002,124.16000399999999,125.06573,126.87213,123.547714,125.66138
2020-06-19,126.169998,126.82,122.25,122.47000099999998,124.18677,124.97889,122.83951,123.928734
2020-06-22,122.12000300000001,122.5,120.529999,121.06999999999998,122.8619,123.71672,121.096016,122.304146
2020-06-23,122.01000200000001,122.900002,119.230003,119.410004,121.30592,121.98868,119.42992,121.21461
2020-06-24,118.32,118.32,115.879997,116.419998,120.4422,120.68403,118.15956,119.52318
2020-06-25,116.760002,119.209999,116.099998,119.029999,116.022545,116.44897,113.371956,114.87268
2020-06-26,118.260002,118.989998,116.260002,117.190002,119.129906,119.75969,117.781105,118.71353
2020-06-29,117.980003,119.77999900000002,117.370003,119.75,116.95363,117.684074,115.06907,116.273056
2020-06-30,119.190002,121.199997,119.0,120.769997,118.9866,119.644005,117.70012,118.152534
2020-07-01,120.269997,121.23000299999998,118.370003,118.540001,119.894035,120.46926,118.53771,119.39122
2020-07-02,119.690002,121.41999799999999,119.260002,119.699997,118.35534,119.048035,116.89458,118.14071
2020-07-06,121.25,121.84999799999999,119.459999,120.190002,119.75623,120.32973,118.42538,119.75241
2020-07-07,119.0,119.510002,117.330002,117.580002,120.81279,121.24738,118.86606,119.894585
2020-07-08,118.059998,118.63999899999999,116.480003,117.709999,117.59652,117.82796,115.33033,116.79252
2020-07-09,118.0,118.0,115.199997,115.709999,117.75195,118.49832,116.00654,117.316055
2020-07-10,115.5,118.57,115.290001,118.349998,115.73736,116.42312,114.1451,115.41143
2020-07-13,119.779999,120.989998,118.660004,119.199997,117.95002,118.3341,116.05784,117.14222
2020-07-14,118.620003,120.889999,117.919998,120.599998,119.519424,120.433075,118.03402,118.893425
2020-07-15,122.40000199999999,123.95999899999998,122.150002,123.0,120.138535,120.70001,118.55841,119.8683
2020-07-16,122.68,124.48000299999998,122.160004,124.010002,123.60648,124.41401,122.179855,123.10687
2020-07-17,124.38999899999999,125.629997,123.199997,125.11000100000001,123.84682,124.29292,122.401566,123.545395
2020-07-20,126.07,127.07,125.139999,126.37000299999998,125.11063,125.68712,123.70775,124.824974
2020-07-21,131.160004,132.169998,125.80000299999999,126.059998,126.85331,127.25708,125.18442,126.220604
2020-07-22,125.900002,129.470001,125.80000299999999,128.669998,127.5291,128.52568,125.7473,127.57662
2020-07-23,129.100006,129.369995,127.150002,127.330002,130.03967,130.40202,127.7279,128.94357
2020-07-24,126.480003,127.65000199999999,125.50000000000001,125.790001,128.2309,129.10666,125.7585,127.472916
2020-07-27,124.86000100000001,126.32,124.70999900000001,126.20999900000001,126.60038,127.0147,124.36592,125.60746
2020-07-28,125.82,126.33999600000001,124.150002,124.470001,126.66773,127.53339,125.26539,126.377335
2020-07-29,124.55999800000001,125.989998,124.06999999999998,125.32,124.70515,124.97215,123.10084,124.15409
2020-07-30,123.70999899999998,123.90000200000001,121.639999,122.90000200000001,125.68299,126.3165,124.503174,125.390755
2020-07-31,122.70999899999998,122.989998,121.089996,122.94000200000002,122.633675,123.04255,121.00278,121.86761
2020-08-03,123.5,124.41000399999999,122.150002,124.30999799999998,122.87146,123.35173,121.46125,122.19816
2020-08-04,123.81999999999998,125.86000099999998,123.82,125.83999600000001,123.55877,124.22195,122.35271,123.27717
2020-08-05,126.730003,126.75,124.610001,125.449997,125.79479,126.33226,124.63362,125.4444
